城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,静安,中内环边上，低总价电梯大三房，满五年税少诚意出售！,https://sh.lianjia.com/ershoufang/107107106960.html,3室2厅,124平米,西南,24层,简装,普善新苑,大宁, 780万,"62,904元/平",1999年建,2个月以前发布,12人关注,塔楼、VR看装修、房本满五年、随时看房
上海,静安,四开间朝南，板楼高区两房，临河，采光视野好，精装修,https://sh.lianjia.com/ershoufang/107107564069.html,2室2厅,86.72平米,南,高楼层(共24层),精装,明园森林都市滴翠苑,大宁, 860万,"99,170元/平",2007年建,7天以前发布,6人关注,板楼、VR看装修、房本满五年
上海,静安,永乐苑的电梯大三房，三开间朝南,https://sh.lianjia.com/ershoufang/107107395201.html,3室1厅,131.48平米,南 北,12层,精装,永乐苑,大宁, 998万,"75,906元/平",1999年建,31天以前发布,3人关注,板楼、VR房源、房本满五年
上海,静安,顶楼带车位，华润品质，邻近地铁，精装修高质量小区！,https://sh.lianjia.com/ershoufang/107107430035.html,3室2厅,93.99平米,南 北,高楼层(共33层) ,其他,静安府东区,大宁, 1300万,"138,313元/平",,26天以前发布,9人关注,板楼、近地铁、VR看装修、房本满两年
上海,静安,店长推荐，聚焦房源，配套齐全，出行方便，随时可看,https://sh.lianjia.com/ershoufang/107107440521.html,2室1厅,63.71平米,西南,低楼层(共6层),精装,八方花苑,大宁, 528万,"82,876元/平",1991年建,25天以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,静安,好房推荐，飞机户型小三房，采光视野好，车位另算,https://sh.lianjia.com/ershoufang/107107467889.html,3室2厅,93.98平米,南 北,低楼层(共14层),精装,象屿大宁悦府,大宁, 1130万,"120,239元/平",2016年建,21天以前发布,7人关注,板楼、VR房源、房本满五年
上海,静安,此房m5v1，小区在售少数的高层，价格适中，业主诚意,https://sh.lianjia.com/ershoufang/107107453187.html,2室2厅,90.56平米,南,中楼层(共28层),精装,慧芝湖花园（一二期）,大宁, 1088万,"120,142元/平",2007年建,23天以前发布,6人关注,板楼、近地铁、VR房源、房本满五年
上海,静安,一千万以内 中环内三房 出行方便,https://sh.lianjia.com/ershoufang/107107455523.html,3室2厅,88.76平米,南 北 西南,中楼层(共33层),精装,明园森林都市涵翠苑,大宁, 950万,"107,031元/平",2013年建,23天以前发布,21人关注,塔楼、VR房源、房本满两年
上海,静安,店长推荐 01年品质小区，楼层好，配套齐全 ，近地铁,https://sh.lianjia.com/ershoufang/107107401758.html,2室1厅,102.45平米,南,中楼层(共16层),简装,福泰公寓,大宁, 899万,"87,751元/平",2001年建,30天以前发布,3人关注,板楼、VR房源、房本满两年
上海,静安,精装修三房两卫+小区中间位置+采光好+楼层好,https://sh.lianjia.com/ershoufang/107107501269.html,3室2厅,107.96平米,南,中楼层(共6层),精装,歌林春天馨园,大宁, 1138万,"105,410元/平",2002年建,16天以前发布,6人关注,板楼、VR房源、房本满五年
